GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
15278.919,199.4,4.8,135737.0,177887.0,8387451.333333333,12.34,2.532629252982588e-07,0.4424184560775757,0.0986140370368957,0.148826390504837,0.0211481526494026,0.2889927327632904,-0.1,1
15290.812,199.7,4.7,136047.0,178100.0,8403746.666666666,11.39,5.791823127765383e-07,0.0131358327344059,4.22360171796754e-05,0.9707157611846924,0.0021169451065361,0.013988684862852,0.0,1
15302.705,200.7,4.7,136205.0,178088.0,8420042.0,11.59,2.570856452166481e-07,0.3883038759231567,0.0111892754212021,0.4659096896648407,0.0115511752665042,0.1230457723140716,0.0,-1
15310.592666666667,201.3,4.6,136244.0,177200.0,8449019.333333334,16.44,2.4031319867390266e-07,0.49265918135643,0.0506943613290786,0.1158197671175003,0.1257810741662979,0.2150454074144363,0.0,1
15318.480333333331,201.8,4.6,136325.0,177343.0,8477996.666666666,13.08,1.027024950417399e-06,0.0056649497710168,1.027024950417399e-06,0.9923207759857178,0.000147745857248,0.0018644880037754,0.6,0
15326.368,202.9,4.7,136520.0,176937.0,8506974.0,14.95,3.974326148181717e-07,0.0730565190315246,0.3497380316257477,3.974326148181717e-07,0.0878380686044693,0.4893665909767151,0.0,1
15369.888,203.8,4.7,136694.0,176983.0,8564724.0,12.31,3.292580004199408e-07,0.6020908355712891,0.0446656495332717,0.0476664714515209,0.0492938719689846,0.2562828063964844,0.0,0
15413.408,202.8,4.5,136843.0,177002.0,8622474.0,11.98,2.579949409664551e-07,0.0762802213430404,0.1213048547506332,0.0108682895079255,0.0483390688896179,0.7432073354721069,0.1,1
15456.928,201.9,4.4,136852.0,177544.0,8680224.0,11.1,1.209155698234099e-06,0.0573758520185947,0.0183563623577356,0.8510056734085083,0.0115975774824619,0.0616632997989654,-0.3,-1
15469.061333333331,202.0,4.5,137063.0,177854.0,8736704.333333334,10.91,4.0246541743726993e-07,0.1278953701257705,0.173200711607933,1.4951484445191454e-05,0.3483226597309112,0.3505659401416778,-0.1,0
15481.194666666666,203.1,4.4,137249.0,179089.0,8793184.666666666,11.56,1.1239537798246602e-06,0.0373907275497913,1.1239537798246602e-06,0.8929621577262878,0.0024614948779344,0.0671833381056785,0.2,-1
15493.328,203.437,4.6,137477.0,178736.0,8849665.0,10.42,2.3871251642049174e-07,0.0375094041228294,0.2759504616260528,0.0012630176497623,0.0195086393505334,0.6657682061195374,0.1,1
15522.913666666664,204.226,4.5,137558.0,178237.0,8855669.0,15.42,1.884237974536518e-07,0.083027184009552,0.0138446893543004,0.142874538898468,0.0045534181408584,0.7556999921798706,0.0,1
15552.499333333331,205.288,4.4,137793.0,178850.0,8861673.0,14.64,1.147282659985649e-06,0.0005234309937804,1.147282659985649e-06,0.9966490268707277,1.147282659985649e-06,0.0028240696992725,0.4,-1
15582.085,205.904,4.5,137842.0,177844.0,8867677.0,14.22,2.896819921716088e-07,0.0527519397437572,0.0034586489200592,0.1343352049589157,0.0027026839088648,0.8067512512207031,0.0,0
15610.302666666666,206.755,4.4,137993.0,179408.0,8914335.666666666,13.05,2.096242752713806e-07,0.0069604134187102,0.0030133561231195,0.0059956805780529,0.0003727093862835,0.9836576581001282,0.0,0
15638.520333333332,207.234,4.6,138069.0,177651.0,8960994.333333334,16.23,1.1736615306290332e-06,0.0023089635651558,1.1736615306290332e-06,0.985008418560028,1.1736615306290332e-06,0.0126791335642337,0.1,1
15666.738,207.603,4.7,138038.0,178039.0,9007653.0,23.52,4.671584008519858e-07,0.2421938478946685,0.0373621061444282,0.0014878381043672,0.0168538372963666,0.7021019458770752,-0.1,-1
15698.481,207.667,4.6,138015.0,178824.0,9081492.666666666,23.38,2.0670746891937602e-07,0.8642460107803345,0.0293091498315334,0.0473577678203582,0.0085173156112432,0.0505695268511772,0.0,-1
15730.224,208.547,4.7,138095.0,178794.0,9155332.333333334,18.0,5.337084303391748e-07,0.0064134271815419,5.337084303391748e-07,0.9926791191101074,5.337084303391748e-07,0.0009058527066372,0.4,-1
15761.967,209.19,4.7,138174.0,179401.0,9229172.0,18.53,2.4497362005604373e-07,0.3132658898830414,0.0352013073861599,0.0829629302024841,0.426462322473526,0.1421072781085968,-0.2,1
